stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone
9553,9553, McLeod Street at Davis Crescent (near 156),McLeodSt at 156,-41.12083866,175.0516925,7,,0,,Pacific/Auckland
1873,1873, Kitchener Street at Totara Street (near 6),KitchenerSt at Totara,-40.93866236,175.6773548,14,,0,,Pacific/Auckland
2828,2828, Mapplebeck Street at Downes Road,MapplebeckSt at Downes,-41.10540532,174.8459104,6,,0,,Pacific/Auckland
8311,8311, Holborn Drive at Aldersgate Grove,HolbornDr at 186,-41.17057227,174.9736171,6,,0,,Pacific/Auckland
9568,9568, Fergusson Drive at Brentwood St,Fergusson at Brentwood,-41.13443469,175.0367477,7,,0,,Pacific/Auckland
9207,9207, Naenae College- Daysh Street (near 26),DayshSt at Naenae Coll,-41.19836179,174.9390339,5,,0,,Pacific/Auckland
6917,6917, Wallace Street at John Street (near 143),WallaceSt at JohnSt,-41.30693107,174.7751353,2,,0,,Pacific/Auckland
3956,3956, Tawa Mall - Main Road (Unichem),Tawa Mall,-41.16978008,174.8250683,4,,0,,Pacific/Auckland
9210,9210, Major Drive near Speedys Reserve,Major Dr near Speedys Reserve,-41.18989926,174.9280527,5,,0,,Pacific/Auckland
4324,4324, Marsden Village - Karori Road (near 146),Marsden Village,-41.28229753,174.7460675,3,,0,,Pacific/Auckland
6928,6928, Hornsey Road at Sunglow Avenue (near 47),HornseyRd at Sunglow,-41.32764146,174.7871685,3,,0,,Pacific/Auckland
7960,7960, Mersey Street at Clyde Street (near 30),MerseySt at Clyde,-41.33744117,174.7736055,3,,0,,Pacific/Auckland
6791,6791, Ohiro Road at Taft Street (near 271),OhiroRd at Taft,-41.30919459,174.7626538,2,,0,,Pacific/Auckland
9364,9364, Tui Glen School (near 135),Tui Glen School,-41.16959211,174.9834813,6,,0,,Pacific/Auckland
5923,5923, Northland Road (near 87),NorthlandRd at 87,-41.28150761,174.7590426,2,,0,,Pacific/Auckland
1832,1832, Carterton - High Street South (near 256),HighStSth at 256,-41.03245926,175.5201022,13,,0,,Pacific/Auckland
1272,1272, Kapiti Road at Hurley Road,KapitiRd at Hurley,-40.89741363,174.9871967,9,,0,,Pacific/Auckland
8542,8542, Brentwood Street at Hector Grove (near 56),Brentwood at 56,-41.13080896,175.0329425,7,,0,,Pacific/Auckland
5913,5913, The Terrace at Dalmuir Lane (near 135),TheTerrace at Dalmuir,-41.28379349,174.7746367,1,,0,,Pacific/Auckland
9983,9983, Nelson Crescent at Heath Street (near 6),NelsonCres at Heath,-41.25565392,174.9493215,5,,0,,Pacific/Auckland
9332,9332, Thomas Street at Wagon Road,ThomasSt at WagonRd,-41.16166369,174.9835997,6,,0,,Pacific/Auckland
6272,6272, Para Street at Awa Road (near 82),ParaSt at AwaRd,-41.31321447,174.8226134,3,,0,,Pacific/Auckland
8270,8270, Waiwhetu Road at Naenae Road (near 368),WaiwhetuRd at NaenaeRd,-41.20581025,174.935318,5,,0,,Pacific/Auckland
9577,9577, Upper Hutt - Senior Citizens Club,UH Senior Citizens,-41.12556249,175.0695885,7,,0,,Pacific/Auckland
2124,2124, Waitangirua Mall - Warspite Avenue,Waitangirua Mall,-41.12899104,174.8801656,6,,0,,Pacific/Auckland
2322,2322, Swansea Street (near 16),SwanseaSt at 16,-41.14893916,174.8609543,5,,0,,Pacific/Auckland
9614,9614, Norana Road at Gentian Street (near 99),NoranaRd at Gentian,-41.10478192,175.1078754,7,,0,,Pacific/Auckland
1429,1429, Paekakariki (pick up and set down on request only),Paekakariki Dial-a-Ride,-40.98094089,174.9571371,8,,0,,Pacific/Auckland
6925,6925, Manchester Street at Caprera Street,Manchester at Caprera,-41.32133727,174.7871157,2,,0,,Pacific/Auckland
1256,1256, Martin Road at Arnold Grove (near 17),MartinRd at Arnold,-40.88534755,174.9921766,9,,0,,Pacific/Auckland
3200,3200, Middleton Road (near 25),MiddletonRd at 25,-41.21913073,174.8085462,3,,0,,Pacific/Auckland
5514,5514, Courtenay Place - Courtenay Central,Courtenay Central,-41.29289647,174.77989,1,,0,,Pacific/Auckland
3924,3924, Raiha Street at Upper Main Drive,RaihaSt at UpperMainDr,-41.14154084,174.8279786,5,,0,,Pacific/Auckland
8234,8234, Taita Drive at Fraser Park (Opposite),TaitaDr at FraserPk,-41.1832139,174.9506286,5,,0,,Pacific/Auckland
2132,2132, Conclusion Street (near 47),ConclusionSt at 47,-41.11817094,174.8753306,6,,0,,Pacific/Auckland
6417,6417, Adelaide Road at Hall Street (near 259),AdelaideRd at Hall,-41.31086678,174.7769145,2,,0,,Pacific/Auckland
6161,6161, The Esplanade (near 184),TheEsplanade at 184,-41.34490694,174.7773618,3,,0,,Pacific/Auckland
8254,8254, High Street at Petherick Street (near 1294),HighSt at Petherick,-41.17343606,174.9641665,5,,0,,Pacific/Auckland
1925,1925, Ahikouka - SH2 at Ahikouka Rd (Hail and Ride),SH2 at AhikoukaRd,-41.06412852,175.4885856,13,,0,,Pacific/Auckland
5933,5933, Mairangi Road at Dorset Way (near 112),MairangiRd at 112,-41.26698497,174.766293,2,,0,,Pacific/Auckland
2328,2328, Sievers Grove (near 177),SieversGr at 177,-41.1486498,174.8621378,5,,0,,Pacific/Auckland
4408,4408, Perth Street at Crofton Road (near 1),PerthSt at Crofton,-41.25478075,174.7750352,3,,0,,Pacific/Auckland
9605,9605, Emerald Hill Terminus - Gemstone Drive,Emerald Hill,-41.09473525,175.1105307,7,,0,,Pacific/Auckland
5418,5418, Clutha Avenue at Nicholson Road (near 6),CluthaAve at 6,-41.24780093,174.7895256,3,,0,,Pacific/Auckland
3042,3042, Johnsonville West - McLintock Street,McLintockSt at 88,-41.22136555,174.7921258,3,,0,,Pacific/Auckland
3008,3008, St Brigid's School - Phillip St (school stop),St Brigid's Sch,-41.22251273,174.8018552,3,,0,,Pacific/Auckland
8111,8111, Victoria Street at Alice Street (near 46),VictoriaSt at Alice,-41.21511184,174.8930202,4,,0,,Pacific/Auckland
4918,4918, Kelburn Normal School - Upland Road,Kelburn Normal Sch,-41.28702265,174.7608469,2,,0,,Pacific/Auckland
9375,9375, Stokes Valley Road at Kamahi Street,StokesVlyRd at Kamahi,-41.18698551,174.9829332,6,,0,,Pacific/Auckland
1534,1534, Te Moana Road at Lavinia Grove (near 78),TeMoanaRd at Lavinia,-40.86640767,175.0296966,10,,0,,Pacific/Auckland
6748,6748, Finnimore Terrace at Dransfield St,Finnimore at Dransfld,-41.31211639,174.7718116,2,,0,,Pacific/Auckland
2158,2158, Warspite Avenue (near 96),WarspiteAve at 96,-41.13657237,174.8737102,6,,0,,Pacific/Auckland
1564,1564, Te Moana Road (near 167),TeMoanaRd at 167,-40.8700822,175.0358605,10,,0,,Pacific/Auckland
1158,1158, Manly Street at Mahana Road (near 153),ManlySt at Mahana,-40.88036527,174.9885854,9,,0,,Pacific/Auckland
6257,6257, Kaikoura Street at Cobar Close (near 23),KaikouraSt at Cobar,-41.30600497,174.8171567,3,,0,,Pacific/Auckland
9534,9534, Lane Street (near 51),LaneSt at 51,-41.13176091,175.0654947,7,,0,,Pacific/Auckland
3982,3982, Middleton Road (near 18),MiddletonRd at 18,-41.21976284,174.8084443,3,,0,,Pacific/Auckland
2108,2108, Holy Family School - Mungavin Avenue,Holy Family School,-41.14031142,174.8597571,5,,0,,Pacific/Auckland
9202,9202, Oxford Terrace at Mitchell Street (near 118),OxfordTce at 118,-41.20650851,174.9312835,5,,0,,Pacific/Auckland
2821,2821, Titahi Bay - Gloaming Hill (near 7),GloamingHill at 7,-41.11346319,174.8475533,6,,0,,Pacific/Auckland
1951,1951, Renall Street at Essex Street,RenallSt at Essex,-40.94742743,175.6410026,14,,0,,Pacific/Auckland
4942,4942, Moana Road (near 18),MoanaRd at 18,-41.28814944,174.7546832,2,,0,,Pacific/Auckland
9353,9353, Grounsell Crescent (near 275),GrounsellCres at 275,-41.19248187,174.924432,5,,0,,Pacific/Auckland
9257,9257, High Street at The Endway (riverside),HighSt at TheEndway,-41.16650246,174.9693231,5,,0,,Pacific/Auckland
1304,1304, Rimu Road (near 8),RimuRd at 8,-40.92402934,174.9951195,9,,0,,Pacific/Auckland
1608,1608, Field Way at William Street,FieldWay at William,-40.8528953,175.0348596,10,,0,,Pacific/Auckland
6064,6064, Worser Bay - Marine Parade (near 177),MarinePde at 177,-41.31475928,174.8274351,3,,0,,Pacific/Auckland
9303,9303, Holborn Drive at Stokes Valley Road (near 3),HolbornDr at 3,-41.16414716,174.983438,6,,0,,Pacific/Auckland
9503,9503, Kirton Drive at Riverstone Drive (Hail and Ride),KirtonDr at Riverstone,-41.11881998,175.0379919,7,,0,,Pacific/Auckland
9545,9545, Fergusson Intermediate - Hikurangi Street,Fergusson Intermed,-41.12738549,175.0380782,7,,0,,Pacific/Auckland
